customer_id,first_name,last_name,email,phone,loyalty_member_flag
CUS000001,First1,Last1,customer1@example.com,555-1001,True
CUS000002,First2,Last2,customer2@example.com,555-1002,True
CUS000003,First3,Last3,customer3@example.com,555-1003,False
CUS000004,First4,Last4,customer4@example.com,555-1004,True
CUS000005,First5,Last5,customer5@example.com,555-1005,True
CUS000006,First6,Last6,customer6@example.com,555-1006,True
CUS000007,First7,Last7,customer7@example.com,555-1007,True
CUS000008,First8,Last8,customer8@example.com,555-1008,True
CUS000009,First9,Last9,customer9@example.com,555-1009,False
CUS000010,First10,Last10,customer10@example.com,555-1010,True
CUS000011,First11,Last11,customer11@example.com,555-1011,True
CUS000012,First12,Last12,customer12@example.com,555-1012,True
CUS000013,First13,Last13,customer13@example.com,555-1013,True
CUS000014,First14,Last14,customer14@example.com,555-1014,True
CUS000015,First15,Last15,customer15@example.com,555-1015,True
CUS000016,First16,Last16,customer16@example.com,555-1016,True
CUS000017,First17,Last17,customer17@example.com,555-1017,False
CUS000018,First18,Last18,customer18@example.com,555-1018,True
CUS000019,First19,Last19,customer19@example.com,555-1019,False
CUS000020,First20,Last20,customer20@example.com,555-1020,False
CUS000021,First21,Last21,customer21@example.com,555-1021,True
CUS000022,First22,Last22,customer22@example.com,555-1022,True
CUS000023,First23,Last23,customer23@example.com,555-1023,False
CUS000024,First24,Last24,customer24@example.com,555-1024,False
CUS000025,First25,Last25,customer25@example.com,555-1025,False
CUS000026,First26,Last26,customer26@example.com,555-1026,True
CUS000027,First27,Last27,customer27@example.com,555-1027,True
CUS000028,First28,Last28,customer28@example.com,555-1028,False
CUS000029,First29,Last29,customer29@example.com,555-1029,True
CUS000030,First30,Last30,customer30@example.com,555-1030,True
CUS000031,First31,Last31,customer31@example.com,555-1031,False
CUS000032,First32,Last32,customer32@example.com,555-1032,True
CUS000033,First33,Last33,customer33@example.com,555-1033,False
CUS000034,First34,Last34,customer34@example.com,555-1034,False
CUS000035,First35,Last35,customer35@example.com,555-1035,False
CUS000036,First36,Last36,customer36@example.com,555-1036,True
CUS000037,First37,Last37,customer37@example.com,555-1037,False
CUS000038,First38,Last38,customer38@example.com,555-1038,True
CUS000039,First39,Last39,customer39@example.com,555-1039,False
CUS000040,First40,Last40,customer40@example.com,555-1040,True
CUS000041,First41,Last41,customer41@example.com,555-1041,False
CUS000042,First42,Last42,customer42@example.com,555-1042,False
CUS000043,First43,Last43,customer43@example.com,555-1043,True
CUS000044,First44,Last44,customer44@example.com,555-1044,True
CUS000045,First45,Last45,customer45@example.com,555-1045,True
CUS000046,First46,Last46,customer46@example.com,555-1046,True
CUS000047,First47,Last47,customer47@example.com,555-1047,False
CUS000048,First48,Last48,customer48@example.com,555-1048,True
CUS000049,First49,Last49,customer49@example.com,555-1049,True
CUS000050,First50,Last50,customer50@example.com,555-1050,True
CUS000051,First51,Last51,customer51@example.com,555-1051,False
CUS000052,First52,Last52,customer52@example.com,555-1052,False
CUS000053,First53,Last53,customer53@example.com,555-1053,False
CUS000054,First54,Last54,customer54@example.com,555-1054,False
CUS000055,First55,Last55,customer55@example.com,555-1055,True
CUS000056,First56,Last56,customer56@example.com,555-1056,False
CUS000057,First57,Last57,customer57@example.com,555-1057,False
CUS000058,First58,Last58,customer58@example.com,555-1058,True
CUS000059,First59,Last59,customer59@example.com,555-1059,False
CUS000060,First60,Last60,customer60@example.com,555-1060,True
CUS000061,First61,Last61,customer61@example.com,555-1061,True
CUS000062,First62,Last62,customer62@example.com,555-1062,True
CUS000063,First63,Last63,customer63@example.com,555-1063,True
CUS000064,First64,Last64,customer64@example.com,555-1064,False
CUS000065,First65,Last65,customer65@example.com,555-1065,False
CUS000066,First66,Last66,customer66@example.com,555-1066,False
CUS000067,First67,Last67,customer67@example.com,555-1067,True
CUS000068,First68,Last68,customer68@example.com,555-1068,False
CUS000069,First69,Last69,customer69@example.com,555-1069,True
CUS000070,First70,Last70,customer70@example.com,555-1070,True
CUS000071,First71,Last71,customer71@example.com,555-1071,True
CUS000072,First72,Last72,customer72@example.com,555-1072,False
CUS000073,First73,Last73,customer73@example.com,555-1073,False
CUS000074,First74,Last74,customer74@example.com,555-1074,False
CUS000075,First75,Last75,customer75@example.com,555-1075,True
CUS000076,First76,Last76,customer76@example.com,555-1076,True
CUS000077,First77,Last77,customer77@example.com,555-1077,False
CUS000078,First78,Last78,customer78@example.com,555-1078,True
CUS000079,First79,Last79,customer79@example.com,555-1079,False
CUS000080,First80,Last80,customer80@example.com,555-1080,False
CUS000081,First81,Last81,customer81@example.com,555-1081,False
CUS000082,First82,Last82,customer82@example.com,555-1082,True
CUS000083,First83,Last83,customer83@example.com,555-1083,False
CUS000084,First84,Last84,customer84@example.com,555-1084,True
CUS000085,First85,Last85,customer85@example.com,555-1085,True
CUS000086,First86,Last86,customer86@example.com,555-1086,False
CUS000087,First87,Last87,customer87@example.com,555-1087,False
CUS000088,First88,Last88,customer88@example.com,555-1088,False
CUS000089,First89,Last89,customer89@example.com,555-1089,False
CUS000090,First90,Last90,customer90@example.com,555-1090,True
CUS000091,First91,Last91,customer91@example.com,555-1091,True
CUS000092,First92,Last92,customer92@example.com,555-1092,False
CUS000093,First93,Last93,customer93@example.com,555-1093,True
CUS000094,First94,Last94,customer94@example.com,555-1094,True
CUS000095,First95,Last95,customer95@example.com,555-1095,True
CUS000096,First96,Last96,customer96@example.com,555-1096,True
CUS000097,First97,Last97,customer97@example.com,555-1097,True
CUS000098,First98,Last98,customer98@example.com,555-1098,False
CUS000099,First99,Last99,customer99@example.com,555-1099,True
CUS000100,First100,Last100,customer100@example.com,555-1100,False
CUS000101,First101,Last101,customer101@example.com,555-1101,False
CUS000102,First102,Last102,customer102@example.com,555-1102,False
CUS000103,First103,Last103,customer103@example.com,555-1103,False
CUS000104,First104,Last104,customer104@example.com,555-1104,True
CUS000105,First105,Last105,customer105@example.com,555-1105,True
CUS000106,First106,Last106,customer106@example.com,555-1106,False
CUS000107,First107,Last107,customer107@example.com,555-1107,False
CUS000108,First108,Last108,customer108@example.com,555-1108,True
CUS000109,First109,Last109,customer109@example.com,555-1109,False
CUS000110,First110,Last110,customer110@example.com,555-1110,False
CUS000111,First111,Last111,customer111@example.com,555-1111,True
CUS000112,First112,Last112,customer112@example.com,555-1112,False
CUS000113,First113,Last113,customer113@example.com,555-1113,True
CUS000114,First114,Last114,customer114@example.com,555-1114,False
CUS000115,First115,Last115,customer115@example.com,555-1115,True
CUS000116,First116,Last116,customer116@example.com,555-1116,True
CUS000117,First117,Last117,customer117@example.com,555-1117,False
CUS000118,First118,Last118,customer118@example.com,555-1118,True
CUS000119,First119,Last119,customer119@example.com,555-1119,True
CUS000120,First120,Last120,customer120@example.com,555-1120,False
CUS000121,First121,Last121,customer121@example.com,555-1121,True
CUS000122,First122,Last122,customer122@example.com,555-1122,True
CUS000123,First123,Last123,customer123@example.com,555-1123,False
CUS000124,First124,Last124,customer124@example.com,555-1124,False
CUS000125,First125,Last125,customer125@example.com,555-1125,True
CUS000126,First126,Last126,customer126@example.com,555-1126,True
CUS000127,First127,Last127,customer127@example.com,555-1127,False
CUS000128,First128,Last128,customer128@example.com,555-1128,False
CUS000129,First129,Last129,customer129@example.com,555-1129,True
CUS000130,First130,Last130,customer130@example.com,555-1130,True
CUS000131,First131,Last131,customer131@example.com,555-1131,True
CUS000132,First132,Last132,customer132@example.com,555-1132,True
CUS000133,First133,Last133,customer133@example.com,555-1133,True
CUS000134,First134,Last134,customer134@example.com,555-1134,False
CUS000135,First135,Last135,customer135@example.com,555-1135,True
CUS000136,First136,Last136,customer136@example.com,555-1136,True
CUS000137,First137,Last137,customer137@example.com,555-1137,True
CUS000138,First138,Last138,customer138@example.com,555-1138,False
CUS000139,First139,Last139,customer139@example.com,555-1139,True
CUS000140,First140,Last140,customer140@example.com,555-1140,False
CUS000141,First141,Last141,customer141@example.com,555-1141,False
CUS000142,First142,Last142,customer142@example.com,555-1142,True
CUS000143,First143,Last143,customer143@example.com,555-1143,True
CUS000144,First144,Last144,customer144@example.com,555-1144,False
CUS000145,First145,Last145,customer145@example.com,555-1145,False
CUS000146,First146,Last146,customer146@example.com,555-1146,False
CUS000147,First147,Last147,customer147@example.com,555-1147,False
CUS000148,First148,Last148,customer148@example.com,555-1148,False
CUS000149,First149,Last149,customer149@example.com,555-1149,True
CUS000150,First150,Last150,customer150@example.com,555-1150,True
CUS000151,First151,Last151,customer151@example.com,555-1151,True
CUS000152,First152,Last152,customer152@example.com,555-1152,True
CUS000153,First153,Last153,customer153@example.com,555-1153,False
CUS000154,First154,Last154,customer154@example.com,555-1154,True
CUS000155,First155,Last155,customer155@example.com,555-1155,True
CUS000156,First156,Last156,customer156@example.com,555-1156,True
CUS000157,First157,Last157,customer157@example.com,555-1157,True
CUS000158,First158,Last158,customer158@example.com,555-1158,True
CUS000159,First159,Last159,customer159@example.com,555-1159,True
CUS000160,First160,Last160,customer160@example.com,555-1160,True
CUS000161,First161,Last161,customer161@example.com,555-1161,True
CUS000162,First162,Last162,customer162@example.com,555-1162,True
CUS000163,First163,Last163,customer163@example.com,555-1163,False
CUS000164,First164,Last164,customer164@example.com,555-1164,True
CUS000165,First165,Last165,customer165@example.com,555-1165,True
CUS000166,First166,Last166,customer166@example.com,555-1166,False
CUS000167,First167,Last167,customer167@example.com,555-1167,False
CUS000168,First168,Last168,customer168@example.com,555-1168,True
CUS000169,First169,Last169,customer169@example.com,555-1169,True
